pdb_id,entity_id,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,status,revision_date,release_date,processing_site,deposition_site,deposition_date,superseded_by,obsoletes,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph
4nkf,1,To be published,,,,"The effects of Lysine 200 and Phenylalanine 239 Farnesyl Pyrophosphate Synthase (FPPS) mutations on the catalytic activity, crystal structure and inhibition by nitrogen containing bisphosphonates",,,,,"Tsoumpra\, M.K.,Barnett\, B.L.,Muniz\, J.R.C.,Walter\, R.L.,Ebetino\, F.H.,von Delft\, F.,Russell\, R.G.G.,Oppermann\, U.,Dunford\, J.E.",REL,2018-01-31T01:00:00Z,2014-11-19T01:00:00Z,RCSB,RCSB,2013-11-12T01:00:00Z,,,PF00348,polyprenyl_synt,Terp_synthase,Polyprenyl synthetase,"IPR033749,IPR008949,IPR029033,IPR000092","Polyprenyl synthetase\, conserved site,Isoprenoid synthase domain superfamily,Histidine phosphatase superfamily,Polyprenyl synthetase",1.10.600.10,Mainly Alpha,Orthogonal Bundle,Farnesyl Diphosphate Synthase,Farnesyl Diphosphate Synthase,"2.5.1.1,2.5.1.10","Dimethylallyltranstransferase,(2E\,6E)-farnesyl diphosphate synthase","Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase,Geranyl-diphosphate:isopentenyl-diphosphate geranyltranstransferase","Transferases,Transferring alkyl or aryl groups\, other than methyl groups,Transferring alkyl or aryl groups\, other than methyl groups,Dimethylallyltranstransferase,Transferases,Transferring alkyl or aryl groups\, other than methyl groups,Transferring alkyl or aryl groups\, other than methyl groups,(2E\,6E)-farnesyl diphosphate synthase",GO:0008299,isoprenoid biosynthetic process,,,,,,,P14324,FPPS_HUMAN,0.84,,,X-ray diffraction,y,"The effects of Lysine 200 and Phenylalanine 239 Farnesyl Pyrophosphate Synthase (FPPS) mutations on the catalytic activity, crystal structure and inhibition by nitrogen containing bisphosphonates","Oppermann\, U.,Russell\, R.G.G.,Barnett\, B.L.,Ebetino\, F.H.,Dunford\, J.E.,Walter\, R.L.,Muniz\, J.R.C.,von Delft\, F.,Tsoumpra\, M.K.",Engineered,CCD,ADSC QUANTUM 315,I02,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 41 21 2,,DIAMOND,,,,,,,,
6eu0,7,Nature,553,,,Structural basis of RNA polymerase III transcription initiation.,10.1038/nature25441,301-306,2018,29345637,"Abascal-Palacios\, G.,Ramsay\, E.P.,Beuron\, F.,Morris\, E.,Vannini\, A.",REL,2018-01-31T01:00:00Z,2018-01-17T01:00:00Z,PDBE,PDBE,2017-10-27T01:00:00Z,,,"PF08292,PF03876","RNA_pol_Rbc25,SHS2_Rpb7-N","OB,SHS2","RNA polymerase III subunit Rpc25,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397",,,,,,,,,,,,,,,,,,,,P35718,RPC8_YEAST,1.0,,emd-3955,Electron Microscopy,,RNA Polymerase III open pre-initiation complex (OC-PIC),"Morris\, E.,Abascal-Palacios\, G.,Beuron\, F.,Ramsay\, E.P.,Vannini\, A.",Natural,,,,,,,,P 1,,,,,,,,,,
5oom,50,Nat. Struct. Mol. Biol.,24,,,Structures of the human mitochondrial ribosome in native states of assembly.,10.1038/nsmb.3464,866-869,2017,28892042,"Brown\, A.,Rathore\, S.,Kimanius\, D.,Aibara\, S.,Bai\, X.C.,Rorbach\, J.,Amunts\, A.,Ramakrishnan\, V.",REL,2018-01-31T01:00:00Z,2017-09-13T01:00:00Z,PDBE,PDBE,2017-08-08T01:00:00Z,,,PF01084,Ribosomal_S18,,Ribosomal protein S18,"IPR036870,IPR001648","Ribosomal protein S18 superfamily,Ribosomal protein S18",,,,,,,,,,"GO:0006412,GO:0070126,GO:0032543,GO:0070125,GO:0003735,GO:0022627,GO:0005739,GO:0005763,GO:0030529,GO:0005840,GO:0005743","translation,mitochondrial translational termination,mitochondrial translation,mitochondrial translational elongation",structural constituent of ribosome,"cytosolic small ribosomal subunit,mitochondrion,mitochondrial small ribosomal subunit,intracellular ribonucleoprotein complex,ribosome,mitochondrial inner membrane",,,,,Q9NVS2,RT18A_HUMAN,1.0,,emd-3843,Electron Microscopy,,Structure of a native assembly intermediate of the human mitochondrial ribosome with unfolded interfacial rRNA,"Kimanius\, D.,Bai\, X.C.,Rorbach\, J.,Rathore\, S.,Amunts\, A.,Brown\, A.,Aibara\, S.,Ramakrishnan\, V.",Natural,,,,,,,,P 1,,,,,,,,,,
1p6p,1,Biochemistry,42,,,Structural and biochemical characterization of toad liver fatty acid-binding protein.,10.1021/bi034213n,8192-203,2003,12846568,"Di Pietro\, S.M.,Corsico\, B.,Perduca\, M.,Monaco\, H.L.,Santome\, J.A.",REL,2018-01-31T01:00:00Z,2003-06-03T01:00:00Z,RCSB,RCSB,2003-04-30T01:00:00Z,,,PF00061,Lipocalin,Calycin,Lipocalin / cytosolic fatty-acid binding protein family,"IPR012674,IPR000463,IPR031259","Calycin,Cytosolic fatty-acid binding,Intracellular lipid binding protein",2.40.128.20,Mainly Beta,Beta Barrel,Lipocalin,Lipocalin,,,,,"GO:0006869,GO:0008289,GO:0005737",lipid transport,lipid binding,cytoplasm,All beta proteins,Lipocalins,Lipocalins,Fatty acid binding protein-like,P83409,FABPL_RHIAE,0.99,,,X-ray diffraction,,Crystal Structure of Toad Liver Basic Fatty Acid-Binding Protein,"Santome\, J.A.,Corsico\, B.,Perduca\, M.,Di Pietro\, S.M.,Monaco\, H.L.",Natural,Image plate,RIGAKU RAXIS IIC,,Rotating anode,Single wavelength,MOLECULAR REPLACEMENT,,P 43 2 2,,,,,,,,,,
5mei,49,Cell Chem Biol,24,,,Inhibition of Eukaryotic Translation by the Antitumor Natural Product Agelastatin A.,10.1016/j.chembiol.2017.04.006,605-613.e5,2017,28457705,"McClary\, B.,Zinshteyn\, B.,Meyer\, M.,Jouanneau\, M.,Pellegrino\, S.,Yusupova\, G.,Schuller\, A.,Reyes\, J.C.P.,Lu\, J.,Guo\, Z.,Ayinde\, S.,Luo\, C.,Dang\, Y.,Romo\, D.,Yusupov\, M.,Green\, R.,Liu\, J.O.",REL,2018-01-31T01:00:00Z,2017-06-28T01:00:00Z,PDBE,PDBE,2016-11-15T01:00:00Z,,,PF00318,Ribosomal_S2,SIS,Ribosomal protein S2,"IPR005707,IPR023591,IPR018130,IPR001865,IPR027498","Ribosomal protein S2\, eukaryotic/archaeal,Ribosomal protein S2\, flavodoxin-like domain superfamily,Ribosomal protein S2\, conserved site,Ribosomal protein S2,Ribosomal protein S2\, eukaryotic",,,,,,,,,,"GO:0006412,GO:0003735,GO:0015935,GO:0005622,GO:0005840",translation,structural constituent of ribosome,"small ribosomal subunit,intracellular,ribosome",,,,,P32905,RSSA1_YEAST,"0.82,0.82",,,X-ray diffraction,y,Crystal structure of Agelastatin A bound to the 80S ribosome,"Schuller\, A.,Reyes\, J.C.P.,Liu\, J.O.,Meyer\, M.,Jouanneau\, M.,Pellegrino\, S.,Lu\, J.,McClary\, B.,Zinshteyn\, B.,Dang\, Y.,Luo\, C.,Romo\, D.,Yusupov\, M.,Green\, R.,Yusupova\, G.",Engineered,Pixel,DECTRIS PILATUS 6M,PROXIMA 1,Synchrotron,"Single wavelength,Single wavelength",MOLECULAR REPLACEMENT,,P 1 21 1,,SOLEIL,,,,,,,,
6enj,46,Mol. Cell,68,,,Structural Basis for Polyproline-Mediated Ribosome Stalling and Rescue by the Translation Elongation Factor EF-P.,10.1016/j.molcel.2017.10.014,515-527.e6,2017,29100052,"Huter\, P.,Arenz\, S.,Bock\, L.V.,Graf\, M.,Frister\, J.O.,Heuer\, A.,Peil\, L.,Starosta\, A.L.,Wohlgemuth\, I.,Peske\, F.,Novacek\, J.,Berninghausen\, O.,Grubmuller\, H.,Tenson\, T.,Beckmann\, R.,Rodnina\, M.V.,Vaiana\, A.C.,Wilson\, D.N.",REL,2018-01-31T01:00:00Z,2017-11-22T01:00:00Z,PDBE,PDBE,2017-10-05T01:00:00Z,,,PF00886,Ribosomal_S16,,Ribosomal protein S16,"IPR023803,IPR020592,IPR000307","Ribosomal protein S16 domain superfamily,Ribosomal protein S16\, conserved site,Ribosomal protein S16",,,,,,,,,,"GO:0090305,GO:0006412,GO:0006259,GO:0000028,GO:0016787,GO:0004520,GO:0003735,GO:0004518,GO:0000400,GO:0004519,GO:0022627,GO:0005840,GO:0030529","nucleic acid phosphodiester bond hydrolysis,translation,DNA metabolic process,ribosomal small subunit assembly","hydrolase activity,endodeoxyribonuclease activity,structural constituent of ribosome,nuclease activity,four-way junction DNA binding,endonuclease activity","cytosolic small ribosomal subunit,ribosome,intracellular ribonucleoprotein complex",,,,,P0A7T3,RS16_ECOLI,1.0,,emd-3899,Electron Microscopy,,Polyproline-stalled ribosome in the presence of A+P site tRNA and elongation-factor P (EF-P),"Wilson\, D.N.,Huter\, P.",Natural,,,,,,,,P 1,,,,,,,,,,
1q86,10,Proc. Natl. Acad. Sci. U.S.A.,99,,,Structural insights into peptide bond formation.,10.1073/pnas.172404099,11670-5,2002,12185246,"Hansen\, J.L.,Schmeing\, T.M.,Moore\, P.B.,Steitz\, T.A.",REL,2018-01-31T01:00:00Z,2003-10-07T01:00:00Z,RCSB,RCSB,2003-08-20T01:00:00Z,,,PF00466,Ribosomal_L10,,Ribosomal protein L10,"IPR001790,IPR022909","Ribosomal protein L10P,50S ribosomal protein L10\, archaea",,,,,,,,,,"GO:0042254,GO:0003723,GO:0019843,GO:0005622,GO:0005840,GO:0030529",ribosome biogenesis,"RNA binding,rRNA binding","intracellular,ribosome,intracellular ribonucleoprotein complex",Peptides,Ribosomal protein L10,Ribosomal protein L10,Ribosomal protein L10,P15825,RL10_HALMA,1.0,,,X-ray diffraction,y,Crystal structure of CCA-Phe-cap-biotin bound simultaneously at half occupancy to both the A-site and P-site of the the 50S ribosomal Subunit.,"Moore\, P.B.,Schmeing\, T.M.,Steitz\, T.A.,Hansen\, J.L.",Natural,CCD,,19-ID,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,C 2 2 21,,APS,,,,,,,,
6enj,27,Mol. Cell,68,,,Structural Basis for Polyproline-Mediated Ribosome Stalling and Rescue by the Translation Elongation Factor EF-P.,10.1016/j.molcel.2017.10.014,515-527.e6,2017,29100052,"Huter\, P.,Arenz\, S.,Bock\, L.V.,Graf\, M.,Frister\, J.O.,Heuer\, A.,Peil\, L.,Starosta\, A.L.,Wohlgemuth\, I.,Peske\, F.,Novacek\, J.,Berninghausen\, O.,Grubmuller\, H.,Tenson\, T.,Beckmann\, R.,Rodnina\, M.V.,Vaiana\, A.C.,Wilson\, D.N.",REL,2018-01-31T01:00:00Z,2017-11-22T01:00:00Z,PDBE,PDBE,2017-10-05T01:00:00Z,,,PF00468,Ribosomal_L34,,Ribosomal protein L34,"IPR000271,IPR020939","Ribosomal protein L34,Ribosomal protein L34\, conserved site",,,,,,,,,,"GO:0005840,GO:0030529",,,"ribosome,intracellular ribonucleoprotein complex",,,,,P0A7P5,RL34_ECOLI,1.0,,emd-3899,Electron Microscopy,,Polyproline-stalled ribosome in the presence of A+P site tRNA and elongation-factor P (EF-P),"Wilson\, D.N.,Huter\, P.",Natural,,,,,,,,P 1,,,,,,,,,,
1zw5,1,Proc. Natl. Acad. Sci. U.S.A.,103,,,The molecular mechanism of nitrogen-containing bisphosphonates as antiosteoporosis drugs.,10.1073/pnas.0601643103,7829-34,2006,16684881,"Kavanagh\, K.L.,Guo\, K.,Dunford\, J.E.,Wu\, X.,Knapp\, S.,Ebetino\, F.H.,Rogers\, M.J.,Russell\, R.G.,Oppermann\, U.",REL,2018-01-31T01:00:00Z,2005-06-28T01:00:00Z,RCSB,RCSB,2005-06-03T01:00:00Z,,,PF00348,polyprenyl_synt,Terp_synthase,Polyprenyl synthetase,"IPR033749,IPR008949,IPR000092","Polyprenyl synthetase\, conserved site,Isoprenoid synthase domain superfamily,Polyprenyl synthetase",1.10.600.10,Mainly Alpha,Orthogonal Bundle,Farnesyl Diphosphate Synthase,Farnesyl Diphosphate Synthase,"2.5.1.1,2.5.1.10","Dimethylallyltranstransferase,(2E\,6E)-farnesyl diphosphate synthase","Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase,Geranyl-diphosphate:isopentenyl-diphosphate geranyltranstransferase","Transferases,Transferring alkyl or aryl groups\, other than methyl groups,Transferring alkyl or aryl groups\, other than methyl groups,Dimethylallyltranstransferase,Transferases,Transferring alkyl or aryl groups\, other than methyl groups,Transferring alkyl or aryl groups\, other than methyl groups,(2E\,6E)-farnesyl diphosphate synthase",GO:0008299,isoprenoid biosynthetic process,,,,,,,P14324,FPPS_HUMAN,0.84,,,X-ray diffraction,y,X-ray structure of Farnesyl diphosphate synthase protein,"Structural Genomics Consortium (SGC),Arrowsmith\, C.,Oppermann\, U.,Wu\, X.,Sundstrom\, M.,von Delft\, F.,Edwards\, A.,Kavanagh\, K.L.,Guo\, K.",Engineered,CCD,MARRESEARCH,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 41 21 2,,SLS,,,,,SGC,Structural Genomics Consortium,"POLYETHYLENE GLYCOL 6000,LITHIUM CHLORIDE,SODIUM CITRATE",4.0
2h59,1,Structure,14,,,Insights into the sirtuin mechanism from ternary complexes containing NAD+ and acetylated peptide.,10.1016/j.str.2006.06.006,1231-40,2006,16905097,"Hoff\, K.G.,Avalos\, J.L.,Sens\, K.,Wolberger\, C.",REL,2018-01-31T01:00:00Z,2006-09-05T01:00:00Z,RCSB,RCSB,2006-05-25T01:00:00Z,,,PF02146,SIR2,FAD_DHS,Sir2 family,"IPR026591,IPR029035,IPR028628,IPR003000,IPR026590","Sirtuin\, catalytic core small domain superfamily,DHS-like NAD/FAD-binding domain superfamily,Sirtuin\, class U,Sirtuin family,Sirtuin family\, catalytic core domain","3.40.50.1220,3.30.1600.10","Alpha Beta,Alpha Beta","3-Layer(aba) Sandwich,2-Layer Sandwich","Rossmann fold,SIR2/SIRT2 'Small Domain'","TPP-binding domain,SIR2/SIRT2 'Small Domain'",,,,,"GO:0006476,GO:0016787,GO:0051287,GO:0034979,GO:0046872,GO:0070403,GO:0005737",protein deacetylation,"hydrolase activity,NAD binding,NAD-dependent protein deacetylase activity,metal ion binding,NAD+ binding",cytoplasm,,,,,Q9WYW0,NPD_THEMA,"1.0,1.0",,,X-ray diffraction,y,Sir2 H116A-deacetylated p53 peptide-3'-o-acetyl ADP ribose,"Avalos\, J.L.,Sens\, K.,Hoff\, K.G.,Wolberger\, C.",Engineered,CCD,ADSC QUANTUM 4,24-ID-C,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 41,,APS,,,,,,,,
1dke,1,Protein Sci.,9,,,Oxygen binding by alpha(Fe2+)2beta(Ni2+)2 hemoglobin crystals.,10.1110/ps.9.4.683,683-92,2000,10794410,"Bruno\, S.,Bettati\, S.,Manfredini\, M.,Mozzarelli\, A.,Bolognesi\, M.,Deriu\, D.,Rosano\, C.,Tsuneshige\, A.,Yonetani\, T.,Henry\, E.R.",REL,2018-01-31T01:00:00Z,2000-05-23T01:00:00Z,RCSB,RCSB,1999-12-07T01:00:00Z,,,PF00042,Globin,Globin,Globin,"IPR009050,IPR002338,IPR000971,IPR002339","Globin-like superfamily,Haemoglobin\, alpha-type,Globin,Haemoglobin\, pi",1.10.490.10,Mainly Alpha,Orthogonal Bundle,Globin-like,Globins,,,,,"GO:0015671,GO:0010942,GO:0015701,GO:0042744,GO:0051291,GO:0006898,GO:0042542,GO:0098869,GO:0005506,GO:0005515,GO:0046872,GO:0004601,GO:0019825,GO:0020037,GO:0005344,GO:0031720,GO:0022627,GO:0071682,GO:0005833,GO:0031838,GO:0005829,GO:0005615,GO:0070062,GO:0016020,GO:0005576,GO:0072562","oxygen transport,positive regulation of cell death,bicarbonate transport,hydrogen peroxide catabolic process,protein heterooligomerization,receptor-mediated endocytosis,response to hydrogen peroxide,cellular oxidant detoxification","iron ion binding,protein binding,metal ion binding,peroxidase activity,oxygen binding,heme binding,oxygen carrier activity,haptoglobin binding","cytosolic small ribosomal subunit,endocytic vesicle lumen,hemoglobin complex,haptoglobin-hemoglobin complex,cytosol,extracellular space,extracellular exosome,membrane,extracellular region,blood microparticle",All alpha proteins,Globin-like,Globin-like,Globins,P69905,HBA_HUMAN,"0.99,0.99",,,X-ray diffraction,,NI BETA HEME HUMAN HEMOGLOBIN,"Bettatti\, S.,Yonetani\, T.,Bruno\, S.,Mozzarelli\, A.,Tsuneshige\, A.,Rosano\, C.,Deriu\, D.,Bolognesi\, M.,Henry\, E.R.",Natural,Image plate,RIGAKU RAXIS IIC,,Rotating anode,Single wavelength,,,P 1 21 1,,,,,,,,,"POLYETHYLENE GLYCOL 1000,POTASSIUM PHOSPHATE,SODIUM DITHIONITE",7.0
5nhr,3,Proc. Natl. Acad. Sci. U.S.A.,114,,,Blockade of activin type II receptors with a dual anti-ActRIIA/IIB antibody is critical to promote maximal skeletal muscle hypertrophy.,10.1073/pnas.1707925114,12448-12453,2017,29109273,"Morvan\, F.,Rondeau\, J.-M.,Zou\, C.,Minetti\, G.,Scheufler\, C.,Scharenberg\, M.,Jacobi\, C.,Brebbia\, P.,Ritter\, V.,Toussaint\, G.,Koelbing\, C.,Leber\, X.,Schilb\, A.,Witte\, F.,Lehmann\, S.,Koch\, E.,Geisse\, S.,Glass\, D.J.,Lach-Trifilieff\, E.",REL,2018-01-31T01:00:00Z,2017-11-15T01:00:00Z,PDBE,PDBE,2017-03-22T01:00:00Z,,,,,,,"IPR000472,IPR000333","Activin types I and II receptor domain,Ser/Thr protein kinase\, TGFB receptor",,,,,,2.7.11.30,Receptor protein serine/threonine kinase,ATP:[receptor-protein] phosphotransferase,"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Receptor protein serine/threonine kinase","GO:0007178,GO:0005524,GO:0004675,GO:0004702,GO:0016020",transmembrane receptor protein serine/threonine kinase signaling pathway,"ATP binding,transmembrane receptor protein serine/threonine kinase activity,signal transducer\, downstream of receptor\, with serine/threonine kinase activity",membrane,,,,,Q13705,AVR2B_HUMAN,"0.19,0.19",,,X-ray diffraction,y,"CRYSTAL STRUCTURE OF THE Activin receptor type-2B LIGAND BINDING DOMAIN IN COMPLEX WITH BIMAGRUMAB FV, CUBIC CRYSTAL FORM","Rondeau\, J.-M.",Engineered,CCD,MARMOSAIC 225 mm CCD,X10SA,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 2 3,,SLS,,,,MR,,,,
6f1v,1,Nature,,,,Cryo-EM shows how dynactin recruits two dyneins for faster movement,10.1038/nature25462,,2018,,"Urnavicius\, L.,Lau\, C.K.,Elshenawy\, M.M.,Morales-Rios\, E.,Motz\, C.,Yildiz\, A.,Carter\, A.P.",REL,2018-01-31T01:00:00Z,2018-01-17T01:00:00Z,PDBE,PDBE,2017-11-23T01:00:00Z,,,PF08385,DHC_N1,,"Dynein heavy chain\, N-terminal region 1",,,,,,,,,,,,,,,,,,,,Q14204,DYHC1_HUMAN,"0.26,0.26",,"emd-4168,emd-4169,emd-4170",Electron Microscopy,,C terminal region of the dynein heavy chains in the dynein tail/dynactin/BICDR1 complex,"Yildiz\, A.,Carter\, A.P.,Urnavicius\, L.,Lau\, C.K.,Morales-Rios\, E.,Elshenawy\, M.M.,Motz\, C.",Engineered,,,,,,,,P 1,,,,,,,,,,
2uuo,1,J. Med. Chem.,51,,,"Novel naphthalene-N-sulfonyl-D-glutamic acid derivatives as inhibitors of MurD, a key peptidoglycan biosynthesis enzyme.",10.1021/jm800762u,7486-94,2008,19007109,"Humljan\, J.,Kotnik\, M.,Contreras-Martel\, C.,Blanot\, D.,Urleb\, U.,Dessen\, A.,Solmajer\, T.,Gobec\, S.",REL,2018-01-31T01:00:00Z,2008-03-25T01:00:00Z,PDBE,PDBE,2007-03-06T01:00:00Z,,,"PF02875,PF08245","Mur_ligase_C,Mur_ligase_M",,"Mur ligase family\, glutamate ligase domain,Mur ligase middle domain","IPR036565,IPR005762,IPR004101,IPR013221,IPR036615","Mur-like\, catalytic domain superfamily,UDP-N-acetylmuramoylalanine-D-glutamate ligase,Mur ligase\, C-terminal,Mur ligase\, central,Mur ligase\, C-terminal domain superfamily","3.40.50.720,3.90.190.20,3.40.1190.10","Alpha Beta,Alpha Beta,Alpha Beta","3-Layer(aba) Sandwich,Alpha-Beta Complex,3-Layer(aba) Sandwich","Rossmann fold,Protein-Tyrosine Phosphatase; Chain A,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase","NAD(P)-binding Rossmann-like Domain,Protein-Tyrosine Phosphatase; Chain A,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase",6.3.2.9,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,UDP-N-acetyl-alpha-D-muramoyl-L-alanine:D-glutamate ligase (ADP-forming),"Ligases,Forming carbon-nitrogen bonds,Acid--amino-acid ligases (peptide synthases),UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","GO:0071555,GO:0007049,GO:0008360,GO:0051301,GO:0009252,GO:0009058,GO:0008764,GO:0005515,GO:0005524,GO:0042802,GO:0000166,GO:0016874,GO:0005737","cell wall organization,cell cycle,regulation of cell shape,cell division,peptidoglycan biosynthetic process,biosynthetic process","UDP-N-acetylmuramoylalanine-D-glutamate ligase activity,protein binding,ATP binding,identical protein binding,nucleotide binding,ligase activity",cytoplasm,"Alpha and beta proteins (a/b),Alpha and beta proteins (a/b),Alpha and beta proteins (a/b)","MurCD N-terminal domain,Ribokinase-like,MurD-like peptide ligases\, peptide-binding domain","MurCD N-terminal domain,MurD-like peptide ligases\, catalytic domain,MurD-like peptide ligases\, peptide-binding domain","MurCD N-terminal domain,MurCDEF,MurCDEF C-terminal domain",P14900,MURD_ECOLI,1.0,,,X-ray diffraction,y,Crystal structure of MurD ligase in complex with D-Glu containing sulfonamide inhibitor,"Humljan\, J.,Contreras-Martel\, C.,Dessen\, A.,Solmajer\, T.,Gobec\, S.,Urleb\, U.,Blanot\, D.,Kotnik\, M.",Engineered,CCD,ADSC CCD,ID14-1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 41,,ESRF,,,,,,,"AMMONIUM SULFATE,POLYETHYLENE GLYCOL 400,HEPES",
6enu,45,Mol. Cell,68,,,Structural Basis for Polyproline-Mediated Ribosome Stalling and Rescue by the Translation Elongation Factor EF-P.,10.1016/j.molcel.2017.10.014,515-527.e6,2017,29100052,"Huter\, P.,Arenz\, S.,Bock\, L.V.,Graf\, M.,Frister\, J.O.,Heuer\, A.,Peil\, L.,Starosta\, A.L.,Wohlgemuth\, I.,Peske\, F.,Novacek\, J.,Berninghausen\, O.,Grubmuller\, H.,Tenson\, T.,Beckmann\, R.,Rodnina\, M.V.,Vaiana\, A.C.,Wilson\, D.N.",REL,2018-01-31T01:00:00Z,2017-11-22T01:00:00Z,PDBE,PDBE,2017-10-06T01:00:00Z,,,PF00830,Ribosomal_L28,,Ribosomal L28 family,"IPR001383,IPR026569,IPR034704,IPR037147","Ribosomal protein L28,Ribosomal protein L28/L24,L28p-like,Ribosomal protein L28/L24 superfamily",,,,,,,,,,"GO:0000027,GO:0005515,GO:0003735,GO:0003723,GO:0019843,GO:0005829,GO:0030529,GO:0005840,GO:0022625",ribosomal large subunit assembly,"protein binding,structural constituent of ribosome,RNA binding,rRNA binding","cytosol,intracellular ribonucleoprotein complex,ribosome,cytosolic large ribosomal subunit",,,,,P0A7M2,RL28_ECOLI,0.99,,emd-3903,Electron Microscopy,,Polyproline-stalled ribosome in the presence of elongation-factor P (EF-P),"Wilson\, D.N.,Arenz\, S.,Huter\, P.",Natural,,,,,,,,P 1,,,,,,,,,,
1fnt,12,Nature,408,,,Structural basis for the activation of 20S proteasomes by 11S regulators.,10.1038/35040607,115-20,2000,11081519,"Whitby\, F.G.,Masters\, E.I.,Kramer\, L.,Knowlton\, J.R.,Yao\, Y.,Wang\, C.C.,Hill\, C.P.",REL,2018-01-31T01:00:00Z,2001-04-11T01:00:00Z,RCSB,RCSB,2000-08-23T01:00:00Z,,,,,,,"IPR000243,IPR001353,IPR029055,IPR023333,IPR016050","Peptidase T1A\, proteasome beta-subunit,Proteasome\, subunit alpha/beta,Nucleophile aminohydrolases\, N-terminal,Proteasome B-type subunit,Proteasome beta-type subunit\, conserved site",3.60.20.10,Alpha Beta,4-Layer Sandwich,"Glutamine Phosphoribosylpyrophosphate\, subunit 1\, domain 1","Glutamine Phosphoribosylpyrophosphate\, subunit 1\, domain 1",3.4.25.1,Proteasome endopeptidase complex,,"Hydrolases,Acting on peptide bonds (peptidases),Threonine endopeptidases,Proteasome endopeptidase complex","GO:0051603,GO:0004175,GO:0004298,GO:0008537,GO:0005839",proteolysis involved in cellular protein catabolic process,"endopeptidase activity,threonine-type endopeptidase activity","proteasome activator complex,proteasome core complex",,,,,P30656,PSB5_YEAST,"0.74,0.74",,,X-ray diffraction,y,CRYSTAL STRUCTURE OF THE 20S PROTEASOME FROM YEAST IN COMPLEX WITH THE PROTEASOME ACTIVATOR PA26 FROM TRYPANOSOME BRUCEI AT 3.2 ANGSTROMS RESOLUTION,"Yao\, Y.,Masters\, E.,Whitby\, F.G.,Kramer\, L.,Knowlton\, J.R.,Wang\, C.C.,Hill\, C.P.",Engineered,Image plate,MARRESEARCH,BL9-1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,SSRL,,,,,,,"SODIUM HEPES,2-METHYL-2\,4-PENTANEDIOL,SODIUM CHLORIDE",7.5
